iter	Passed	Remaining
0	147	147600
1	151	75512
2	154	51431
3	157	39259
4	161	32201
5	164	27277
6	167	23763
7	171	21240
8	174	19215
9	177	17618
10	182	16433
11	186	15330
12	189	14372
13	193	13613
14	196	12922
15	201	12368
16	204	11804
17	207	11296
18	212	10954
19	215	10542
20	218	10165
21	221	9845
22	225	9557
23	230	9383
24	233	9116
25	236	8867
26	242	8729
27	245	8508
28	248	8336
29	252	8149
30	256	8012
31	261	7914
32	264	7752
33	268	7620
34	272	7518
35	278	7444
36	280	7311
37	283	7183
38	289	7127
39	292	7016
40	295	6908
41	298	6806
42	301	6707
43	307	6678
44	310	6586
45	313	6498
46	317	6432
47	322	6403
48	326	6337
49	329	6257
50	332	6179
51	336	6138
52	339	6069
53	342	6000
54	346	5950
55	349	5887
56	355	5886
57	365	5931
58	369	5899
59	373	5843
60	375	5786
61	378	5730
62	382	5689
63	385	5638
64	388	5585
65	391	5534
66	394	5491
67	399	5479
68	403	5441
69	406	5394
70	409	5352
71	412	5318
72	416	5287
73	419	5245
74	422	5209
75	425	5171
76	428	5133
77	432	5116
78	435	5081
79	438	5046
80	442	5018
81	448	5024
82	452	5000
83	455	4966
84	458	4933
85	465	4947
86	469	4927
87	472	4897
88	475	4866
89	479	4843
90	481	4814
91	484	4784
92	487	4755
93	490	4730
94	497	4736
95	500	4715
96	503	4687
97	506	4661
98	510	4649
99	513	4624
100	516	4598
101	519	4575
102	522	4554
103	526	4533
104	529	4513
105	533	4495
106	535	4472
107	540	4465
108	543	4444
109	546	4421
110	549	4400
111	553	4390
112	557	4375
113	560	4354
114	563	4335
115	570	4344
116	575	4343
117	582	4355
118	587	4352
119	590	4333
120	593	4313
121	597	4298
122	600	4278
123	603	4261
124	606	4246
125	609	4226
126	613	4219
127	618	4214
128	623	4209
129	630	4218
130	635	4214
131	639	4208
132	645	4207
133	649	4199
134	655	4197
135	660	4194
136	665	4190
137	671	4196
138	676	4190
139	680	4182
140	688	4196
141	694	4195
142	698	4187
143	704	4188
144	709	4185
145	718	4200
146	744	4321
147	752	4330
148	758	4331
149	764	4332
150	774	4353
151	791	4416
152	796	4411
153	809	4448
154	818	4464
155	823	4453
156	831	4464
157	835	4453
158	840	4445
159	846	4443
160	856	4465
